"SYMBOL"	"chromosome_name"	"start_position"	"end_position"
"AADAT"	"4"	170060222	170091699
"AANAT"	"17"	76453351	76470117
"ABCA12"	"2"	214931542	215138626
"ABCA13"	"7"	48171458	48647497
"ABCC3"	"17"	50634777	50692253
"ABCG2"	"4"	88090150	88231628
"ABHD11"	"7"	73736094	73738852
"ABO"	"HG2030_PATCH"	76358	102118
"ABO"	"9"	133233278	133276024
"ACAN"	"15"	88803436	88875353
"ACAT2"	"6"	159762045	159779112
"ACER2"	"9"	19409009	19452505
"ACHE"	"7"	100889994	100896974
"ACOT11"	"1"	54542257	54639192
"ACOX2"	"3"	58505136	58537283
"ACOXL"	"2"	110732539	111118548
"ACP5"	"19"	11574653	11579993
"ACP7"	"19"	39083913	39111493
"ACYP1"	"14"	75053237	75069483
"ADAM19"	"5"	157395534	157575775
"ADGRF2"	"6"	47656487	47695192
"ADGRF4"	"6"	47685864	47722021
"ADM5"	"19"	49689594	49690575
"ADORA2B"	"17"	15945130	15975746
"ADRA1B"	"5"	159865080	159973012
"ADRM1"	"20"	62302093	62308862
"ADSS1"	"14"	104724174	104747325
"AFAP1L2"	"10"	114294824	114404756
"AGAP1"	"2"	235494043	236131793
"AGAP2"	"12"	57723761	57742157
"AGR2"	"7"	16791811	16833433
"AIF1L"	"9"	131096476	131123152
"AIM2"	"1"	159061599	159187843
"AK7"	"14"	96392128	96489427
"AKR1B15"	"7"	134549110	134579875
"AKR1E2"	"10"	4786629	4848062
"ALDH3B2"	"11"	67662155	67681224
"ALK"	"2"	29192774	29921586
"ALOXE3"	"17"	8095900	8119047
"ALYREF"	"17"	81887835	81891586
"AMIGO2"	"12"	47075707	47079959
"AMOTL1"	"11"	94706431	94876748
"ANGPTL4"	"19"	8363289	8374370
"ANK1"	"8"	41653220	41896741
"ANK3"	"10"	60026298	60733490
"ANKRD22"	"10"	88819896	88851844
"ANKRD33"	"12"	51888009	51891727
"ANKRD39"	"2"	96836611	96858016
"ANKRD44"	"2"	196967017	197311173
"ANKRD65"	"1"	1418420	1421769
"ANKRD9"	"14"	102501767	102509799
"ANLN"	"7"	36389821	36453791
"ANPEP"	"15"	89784895	89815401
"ANXA8"	"10"	47460162	47484158
"ANXA8L1"	"10"	46375627	46391784
"AP1M2"	"19"	10572671	10587315
"AP1S1"	"7"	101154456	101161596
"APCDD1L"	"20"	58459101	58515399
"APOBEC3B"	"22"	38982347	38992804
"ARAP2"	"4"	35948221	36244514
"AREG"	"4"	74445136	74455005
"ARHGAP11A"	"HSCHR15_4_CTG8"	4829724	4854533
"ARHGAP11A"	"15"	32615144	32639941
"ARHGAP11B"	"HSCHR15_4_CTG8"	2911147	2971326
"ARHGAP11B"	"HSCHR15_6_CTG8"	1878790	1902436
"ARHGAP11B"	"15"	30624494	30649529
"ARHGAP26"	"5"	142770377	143229011
"ARHGAP33"	"19"	35774532	35788822
"ARHGAP8"	"22"	44752558	44862788
"ARHGDIB"	"12"	14942031	14961728
"ARHGEF16"	"1"	3454665	3481113
"ARHGEF26"	"3"	154121003	154257827
"ARHGEF26"	"HSCHR3_2_CTG2_1"	24216	164217
"ARHGEF35"	"7"	144186083	144195879
"ARHGEF35"	"HSCHR7_3_CTG4_4"	141497	142948
"ARHGEF39"	"9"	35658875	35675866
"ARHGEF4"	"2"	130836914	131047263
"ARID3A"	"19"	925781	975939
"ARID3B"	"15"	74541206	74598131
"ARL14"	"3"	160677160	160678448
"ARL14EPL"	"5"	116032324	116060118
"ARMC1"	"8"	65602458	65634217
"ARPC1A"	"7"	99325898	99366262
"ARPC1B"	"7"	99374249	99394816
"ASB16"	"17"	44170447	44179084
"ASB2"	"HSCHR14_7_CTG1"	1048715	1091353
"ASB2"	"14"	93934166	93976739
"ASF1B"	"19"	14119512	14136613
"ASF1B"	"HG109_PATCH"	331671	348772
"ASL"	"7"	66075800	66094697
"ASPM"	"1"	197084121	197146694
"ATAD2"	"8"	123319850	123416350
"ATAD3B"	"1"	1471765	1497848
"ATAD5"	"17"	30831966	30895869
"ATG101"	"12"	52069246	52077495
"ATL1"	"14"	50532509	50634017
"ATP1B1"	"1"	169105697	169310992
"ATP23"	"HSCHR12_1_CTG2_1"	144646	160374
"ATP23"	"12"	57906039	57959148
"ATP2B2"	"3"	10324023	10708007
"ATP2C2"	"16"	84368527	84464187
"ATP5F1B"	"12"	56638175	56645984
"ATXN3"	"14"	92044496	92106621
"AUNIP"	"1"	25831913	25859458
"AURKA"	"20"	56369389	56392337
"AURKB"	"17"	8204733	8210600
"B3GALT5"	"21"	39556442	39673137
"B3GNT3"	"19"	17794828	17813576
"B3GNT6"	"11"	77034398	77041973
"B3GNT7"	"2"	231395710	231401164
"B4GALNT1"	"12"	57623409	57633239
"BAIAP2"	"17"	81035122	81117434
"BARD1"	"2"	214725646	214809683
"BARX2"	"11"	129375848	129452279
"BCAP29"	"7"	107580246	107629170
"BCAP29"	"HG2266_PATCH"	426428	464015
"BEGAIN"	"14"	100537147	100587417
"BICDL1"	"12"	119989236	120094494
"BICDL2"	"16"	3027682	3036944
"BIK"	"22"	43110750	43129712
"BIRC5"	"17"	78214186	78225636
"BLM"	"15"	90717346	90816166
"BLOC1S1"	"12"	55716038	55720087
"BOLA3"	"2"	74135400	74147912
"BORA"	"13"	72727749	72756198
"BRCA1"	"17"	43044295	43170245
"BRCA2"	"13"	32315086	32400268
"BRINP2"	"1"	177170958	177282422
"BSPRY"	"9"	113349541	113371233
"BTBD19"	"1"	44808523	44815585
"BTBD6"	"14"	105248533	105251093
"BUB1"	"2"	110637528	110678063
"BUB1B"	"15"	40161023	40221123
"BUD23"	"7"	73683597	73698212
"BZW1"	"2"	200810594	200827338
"C11orf86"	"11"	66975277	66977009
"C15orf39"	"15"	75195643	75212169
"C15orf48"	"15"	45430579	45448761
"C16orf74"	"16"	85690084	85751129
"C1QL1"	"17"	44959693	44968303
"C1orf112"	"1"	169662007	169854080
"C1orf116"	"1"	207018522	207032756
"C1orf210"	"1"	43281877	43285617
"C21orf58"	"21"	46300181	46323875
"C22orf15"	"HSCHR22_1_CTG7"	449	2223
"C22orf15"	"22"	23762990	23765863
"C3orf80"	"3"	160225422	160228213
"C6orf141"	"6"	49550666	49561907
"CA14"	"1"	150257251	150265078
"CA2"	"8"	85463968	85481493
"CACNA1D"	"3"	53328963	53813733
"CACYBP"	"1"	174999163	175012027
"CALM1"	"14"	90396502	90408268
"CALML4"	"15"	68190705	68206079
"CAMKK1"	"17"	3860315	3894891
"CAPN8"	"1"	223538007	223665723
"CARD11"	"7"	2906142	3044228
"CARD14"	"17"	80169992	80216073
"CAV2"	"7"	116287380	116508541
"CBLC"	"19"	44777869	44800652
"CBR3"	"21"	36135079	36146562
"CBX5"	"12"	54230942	54280133
"CCBE1"	"18"	59430939	59697662
"CCDC137"	"17"	81666737	81673904
"CCDC144NL"	"17"	20893392	20896020
"CCDC144NL"	"17"	20836447	20896162
"CCDC17"	"1"	45620044	45624057
"CCDC18"	"1"	93179919	93278730
"CCDC33"	"15"	74202705	74336472
"CCDC33"	"HG2198_PATCH"	30130	165741
"CCDC74A"	"2"	131527675	131533666
"CCDC74B"	"HSCHR2_12_CTG7_2"	315847	321694
"CCDC74B"	"2"	130139287	130145134
"CCDC85C"	"14"	99500190	99604207
"CCDC88C"	"14"	91271323	91417844
"CCL22"	"16"	57358783	57366189
"CCL26"	"7"	75769533	75789896
"CCNA1"	"13"	36431520	36442870
"CCNA2"	"4"	121816444	121823883
"CCNB1"	"5"	69167135	69178245
"CCNB2"	"15"	59105126	59125045
"CCND1"	"11"	69641156	69654474
"CCND3"	"6"	41934934	42050357
"CCNE2"	"8"	94879770	94896678
"CCNF"	"16"	2429394	2458854
"CCNO"	"5"	55231152	55233608
"CCNQ"	"X"	153587925	153600045
"CCNYL1"	"2"	207711540	207761839
"CCSER1"	"4"	90127394	91605295
"CCT6A"	"7"	56051685	56063989
"CD164L2"	"1"	27379176	27383333
"CD79A"	"19"	41877279	41881372
"CDC14A"	"1"	100345001	100520277
"CDC20"	"1"	43358981	43363203
"CDC25A"	"3"	48157146	48188417
"CDC25C"	"5"	138285269	138338355
"CDC42BPG"	"11"	64823052	64844653
"CDC42EP4"	"17"	73283624	73312005
"CDC42EP5"	"HSCHR19LRC_COX1_CTG3_1"	371539	379704
"CDC42EP5"	"19"	54465026	54473296
"CDC42EP5"	"HSCHR19_4_CTG3_1"	447324	455525
"CDC42EP5"	"HSCHR19LRC_PGF1_CTG3_1"	369718	377945
"CDC45"	"22"	19479457	19520612
"CDC6"	"17"	40287879	40304657
"CDCA2"	"8"	25459199	25507911
"CDCA3"	"12"	6844793	6851292
"CDCA4"	"14"	105009573	105021083
"CDCA5"	"11"	65066300	65084164
"CDCA7"	"2"	173354820	173368997
"CDCA8"	"1"	37692481	37709719
"CDH1"	"16"	68737292	68835537
"CDHR2"	"5"	176542511	176595974
"CDK1"	"10"	60778331	60794852
"CDK2"	"12"	55966781	55972789
"CDK5"	"7"	151053815	151057897
"CDKL2"	"4"	75576496	75630716
"CDKN3"	"14"	54396849	54420218
"CDS1"	"4"	84583127	84651334
"CDT1"	"16"	88803789	88809258
"CDYL2"	"16"	80597907	80804598
"CEACAM1"	"19"	42507304	42561234
"CELSR1"	"22"	46360834	46537620
"CENPA"	"2"	26764289	26801067
"CENPE"	"4"	103105349	103198445
"CENPF"	"1"	214603185	214664574
"CENPH"	"5"	69189574	69210357
"CENPI"	"X"	101098188	101166126
"CENPJ"	"13"	24882279	24922889
"CENPK"	"5"	65517766	65563168
"CENPL"	"1"	173799550	173824883
"CENPM"	"22"	41938737	41947152
"CENPN"	"16"	81006552	81033114
"CENPN"	"HG405_PATCH"	54791	81353
"CENPO"	"2"	24793136	24822376
"CENPP"	"9"	92325953	92620529
"CENPP"	"HG1012_PATCH"	160682	455256
"CENPU"	"4"	184694085	184734130
"CENPW"	"6"	126340115	126348875
"CENPX"	"17"	82018702	82024107
"CEP128"	"14"	80476983	80959517
"CEP55"	"10"	93496612	93529092
"CEP85"	"1"	26234200	26278808
"CFAP45"	"1"	159872364	159900165
"CGAS"	"6"	73413515	73452297
"CGB5"	"19"	49043848	49045311
"CGB7"	"19"	49054274	49058860
"CGB8"	"19"	49047638	49049111
"CGN"	"1"	151510510	151538692
"CHAC2"	"2"	53767804	53775196
"CHAF1A"	"19"	4402640	4445018
"CHAF1B"	"21"	36385392	36419015
"CHCHD10"	"HSCHR22_1_CTG7"	2196	4805
"CHCHD10"	"22"	23765834	23767972
"CHCHD3"	"7"	132784870	133082090
"CHN1"	"2"	174798809	175005381
"CHRND"	"2"	232525993	232536667
"CHST1"	"11"	45647689	45665622
"CHST4"	"16"	71525233	71538748
"CHST6"	"16"	75472052	75495445
"CIB2"	"15"	78104606	78131535
"CINP"	"14"	102341102	102362916
"CIP2A"	"3"	108549864	108589644
"CIT"	"12"	119685791	119877320
"CKAP2"	"13"	52455429	52476628
"CKAP2L"	"2"	112736349	112764664
"CKMT1B"	"15"	43593054	43604901
"CKS1B"	"1"	154974653	154979251
"CKS2"	"9"	89311195	89316703
"CLDN24"	"4"	183321764	183322426
"CLDN4"	"7"	73799542	73832690
"CLDN7"	"17"	7259903	7263983
"CLDN7"	"HG2087_PATCH"	15231	19311
"CLDN9"	"16"	3012923	3014505
"CLMN"	"14"	95181940	95319908
"CLSPN"	"1"	35720218	35769978
"CMC2"	"HG405_PATCH"	14687	68509
"CMC2"	"16"	80966448	81020270
"CMPK2"	"2"	6840570	6866635
"CMSS1"	"3"	99817837	100181732
"CNGB1"	"16"	57882340	57971128
"COBLL1"	"2"	164653624	164843679
"COL13A1"	"10"	69801880	69964275
"COL17A1"	"10"	104031286	104085880
"COL19A1"	"6"	69866556	70212468
"COL20A1"	"20"	63293186	63334851
"COL4A2"	"13"	110305812	110513209
"COL6A3"	"2"	237324003	237414328
"COL7A1"	"3"	48564073	48595329
"COL9A3"	"20"	62816244	62841159
"COMTD1"	"10"	75233641	75236030
"COPS5"	"8"	67043079	67083783
"CORO1A"	"16"	30182827	30189076
"COX17"	"3"	119654513	119677454
"COX6B2"	"19"	55349306	55354719
"CPED1"	"7"	120988697	121297442
"CPM"	"12"	68842197	68971570
"CPNE3"	"8"	86514435	86561498
"CPNE5"	"6"	36740775	36839444
"CPSF2"	"14"	92121969	92172145
"CPT1A"	"11"	68754620	68844410
"CRABP2"	"1"	156699606	156705816
"CRB3"	"19"	6463777	6467221
"CREB3L3"	"19"	4153631	4173054
"CREG2"	"2"	101345550	101387503
"CRIP1"	"14"	105486317	105488947
"CRYBB3"	"22"	25199858	25207359
"CRYBG1"	"6"	106360717	106572017
"CSF1R"	"5"	150053291	150113372
"CSH2"	"17"	63872012	63873766
"CSPG5"	"3"	47562238	47580792
"CSTB"	"21"	43772511	43776330
"CT45A1"	"X"	135713639	135723539
"CT45A2"	"X"	135811668	135820012
"CT45A5"	"X"	135775852	135785503
"CT45A8"	"X"	135846497	135854538
"CT45A9"	"X"	135863418	135871812
"CTAGE15"	"HG708_PATCH"	191165	193751
"CTAGE15"	"7"	143571801	143574387
"CTAGE4"	"7"	144183466	144186080
"CTAGE4"	"HSCHR7_3_CTG4_4"	138069	140399
"CTNNBIP1"	"1"	9848276	9910336
"CTRL"	"16"	67927640	67932365
"CTSE"	"1"	206008535	206023909
"CTSS"	"1"	150730079	150765957
"CYCS"	"7"	25118656	25125260
"CYP26B1"	"2"	72129238	72147862
"CYP27C1"	"2"	127183832	127220313
"CYP2C8"	"10"	95036772	95069497
"CYP2C9"	"10"	94938658	94990091
"CYP2S1"	"19"	41193210	41207539
"CYSRT1"	"9"	137225174	137226315
"CYTH4"	"22"	37282027	37315341
"DAPP1"	"4"	99816827	99870190
"DAZAP2"	"12"	51238724	51271362
"DBF4"	"7"	87876216	87909553
"DBF4B"	"17"	44708608	44752264
"DCLRE1B"	"1"	113904619	113914086
"DDIAS"	"11"	82899975	82958277
"DDX43"	"6"	73394828	73417566
"DDX60"	"4"	168216291	168318883
"DENND2D"	"1"	111185969	111204535
"DEPDC1"	"1"	68474152	68497221
"DEPDC1B"	"5"	60596912	60700190
"DERL3"	"HSCHR22_1_CTG7"	70865	75490
"DERL3"	"22"	23834503	23839128
"DGKA"	"12"	55927319	55954027
"DGKG"	"3"	186105668	186362234
"DHDH"	"19"	48933699	48944969
"DHFR"	"5"	80626226	80654983
"DHRS2"	"14"	23630115	23645639
"DHRS9"	"2"	169064789	169096167
"DIO3"	"14"	101560139	101563452
"DLGAP5"	"14"	55148112	55191608
"DLX3"	"17"	49990005	49995224
"DMBX1"	"1"	46489836	46516216
"DMC1"	"22"	38518948	38570204
"DMRT2"	"9"	1049858	1057552
"DNA2"	"10"	68414064	68472121
"DNAAF3"	"19"	55158661	55166722
"DNAJC9"	"10"	73183362	73247255
"DNMBP"	"10"	99875577	100009947
"DNMT3B"	"20"	32762385	32809359
"DOCK10"	"2"	224765090	225042468
"DOK3"	"5"	177501904	177511274
"DRAP1"	"11"	65919274	65921563
"DRP2"	"X"	101219769	101264502
"DSCC1"	"8"	119833976	119855894
"DTL"	"1"	212035553	212107400
"DTYMK"	"2"	241675747	241686944
"DUSP4"	"8"	29333064	29350684
