"SYMBOL"	"chromosome_name"	"start_position"	"end_position"
"A2M"	"12"	9067664	9116229
"AAMDC"	"11"	77821109	77918432
"AASS"	"7"	122064583	122144308
"ABAT"	"16"	8674596	8784575
"ABCA5"	"17"	69244311	69327244
"ABCB1"	"7"	87503017	87713323
"ABCB5"	"7"	20615667	20777038
"ABCC6"	"HSCHR16_1_CTG1"	1806848	1881517
"ABCC6"	"16"	16149565	16223522
"ABHD4"	"14"	22598290	22612963
"ABI3BP"	"3"	100749156	100993515
"ACKR2"	"3"	42804752	42887974
"ACKR3"	"2"	236567787	236582354
"ACSF2"	"17"	50426158	50474845
"ACSM4"	"12"	7304072	7328719
"ACTA2"	"10"	88935074	88991339
"ACTBL2"	"5"	57480018	57482811
"ADA2"	"22"	17178790	17258235
"ADAM21"	"14"	70417107	70460427
"ADAM28"	"8"	24294069	24359014
"ADAMTS10"	"19"	8580240	8610735
"ADAMTS12"	"5"	33523535	33892019
"ADAMTS12"	"HSCHR5_6_CTG1"	41479	93514
"ADAMTS14"	"10"	70672506	70762441
"ADAMTS2"	"5"	179110853	179345461
"ADAMTS7"	"15"	78759206	78811464
"ADAMTSL4"	"1"	150549369	150560937
"ADAP2"	"17"	30906344	30959322
"ADCY5"	"3"	123282296	123449090
"ADCY6"	"12"	48766194	48789089
"ADGRA2"	"8"	37784191	37844896
"ADGRB1"	"8"	142449430	142545009
"ADGRV1"	"5"	90529344	91164437
"ADHFE1"	"8"	66432492	66468907
"ADM"	"11"	10305073	10307397
"ADM2"	"22"	50481543	50486440
"ADPRM"	"17"	10697594	10711558
"ADRA1D"	"20"	4220630	4249287
"AGPAT3"	"21"	43865223	43987592
"AGT"	"1"	230690776	230745576
"AHR"	"7"	16916359	17346152
"AHRR"	"5"	321714	438291
"AJUBA"	"14"	22971177	22982551
"AKAP3"	"12"	4615508	4649051
"AKR1C3"	"10"	5035354	5107686
"AKT3"	"1"	243488233	243851079
"AKT3"	"HSCHR1_3_CTG32_1"	500341	867542
"ALDH1L1"	"3"	126103562	126197994
"ALDH1L2"	"12"	105019784	105107643
"ALDH4A1"	"1"	18871430	18902724
"ALOX5"	"HSCHR10_1_CTG2"	215007	286950
"ALOX5"	"10"	45374176	45446119
"ALPG"	"2"	232406844	232410714
"ALPK1"	"4"	112285509	112442621
"ALPK2"	"18"	58481247	58629091
"ALPK3"	"15"	84817356	84873479
"ALPL"	"1"	21509397	21578410
"ALPP"	"2"	232378724	232382889
"AMIGO1"	"1"	109504178	109509738
"AMOT"	"X"	112774503	112840831
"AMOTL2"	"3"	134355347	134375479
"AMT"	"3"	49416778	49422685
"AMY2B"	"1"	103553815	103579534
"ANG"	"14"	20684177	20698971
"ANK2"	"4"	112818032	113384221
"ANKK1"	"11"	113387779	113400416
"ANKRD1"	"10"	90912096	90921087
"ANKRD6"	"6"	89433152	89633834
"ANO4"	"12"	100717526	101128641
"ANO4"	"HSCHR12_3_CTG2_1"	135832	152874
"ANTXR1"	"2"	69013176	69249327
"ANXA6"	"5"	151100706	151157815
"AOAH"	"7"	36512941	36724549
"AOX1"	"2"	200586014	200677064
"AP3B2"	"15"	82659281	82710112
"APBA1"	"HSCHR9_1_CTG2"	21985	70597
"APBA1"	"9"	69427532	69672371
"APBB1"	"11"	6395125	6419414
"APOBR"	"16"	28494643	28498964
"APOE"	"19"	44905791	44909393
"APOLD1"	"12"	12725917	12829975
"AQP3"	"9"	33441156	33447596
"ARFGEF3"	"6"	138161939	138344663
"ARG2"	"14"	67619920	67651708
"ARHGAP20"	"11"	110577042	110713189
"ARHGAP24"	"4"	85475150	86002668
"ARHGAP31"	"3"	119294383	119420714
"ARHGAP6"	"X"	11117651	11665920
"ARHGEF17"	"11"	73308276	73369388
